Type,Tag,Title,Regexp,Other,ReleaseType,TypeExclusive
platform,MacOSX,,(?:mac[\-\._ ]?)?osx,,app,
platform,MacOS,,mac[\-\._ ]?os,,app,
platform,MEGACD,Sega Mega-CD,[ms]ega[\-\._ ]?cd,,game,1
platform,MultiOS,Multi OS,,,app,1
platform,N64,Nintendo 64,,,game,1
platform,NDS,Nintendo DS,,,game,1
platform,NES,Nintendo Entertainment System,,,game,1
platform,NGC,Nintendo GameCube (Japan),,,game,1
platform,NGPC,Neo Geo Pocket Color,,,game,1
platform,NG,Neo Geo,ng|neo[\-\._ ]?geo,,game,1
platform,NSW,Nintendo Switch,ns[wp]|xci,,game,1
platform,OpenBSD,,open[\-\._ ]?bsd,,app,1
platform,PC,,(?-i:PC),,app,
platform,PS5,PlayStation 5,ps[\-\._ ]?5,,game,1
platform,PS4,PlayStation 4,ps[\-\._ ]?4,,game,1
platform,PS3,PlayStation 3,ps[\-\._ ]?3,,game,1
platform,PS2,PlayStation 2,ps[\-\._ ]?(?:2|rip),,game,1
platform,PS1,PlayStation 1,ps[\-\._ ]?[x1]|(?-i:PS),,game,1
platform,PSP,PlayStation Portable,,,game,1
platform,PSV,PlayStation Vita,psv(?:ita)?,,game,1
platform,SFC,Nintendo Super Famicom,,,game,1
platform,SNES,Super Nintendo Entertainment System,,,game,1
platform,Solaris.Intel,Solaris (Intel),solaris[\-\._ ]intel,,app,1
platform,Solaris.Sparc,Solaris (SPARC),solaris[\-\._ ]sparc,,app,1
platform,TG16,TurboGrafx 16,tg[\-\._ ]?16|pce(?:[\-\._ ]?(?:cd))?,,game,1
platform,VVD,V.Flash (VTech V.Disc),,,game,1
platform,WiiU,Nintendo Wii U,wii[\-\._ ]?u,,game,1
platform,Wii,Nintendo Wii,,,game,1
platform,Win95NT4,Windows 95/NT4,(for[\-\._ ])?(?:windows|win)[\-\._ ]?95[\-\._ ]?nt4,,app,
platform,Win9xNT4,Windows 9x/NT4,(for[\-\._ ])?(?:windows|win)[\-\._ ]?9x[\-\._ ]?nt4,,app,
platform,Win95NT,Windows 95/NT,(for[\-\._ ])?(?:windows|win)[\-\._ ]?95[\-\._ ]?nt,,app,
platform,Win9xNT,Windows 9x/NT,(for[\-\._ ])?(?:windows|win)[\-\._ ]?9x[\-\._ ]?nt,,app,
platform,Win311,Windows 3.11,(for[\-\._ ])?(?:windows|win)[\-\._ ]?3[\-\._ ]?11,,app,
platform,WinAll,Windows (all),(for[\-\._ ])?(?:windows|win)[\-\._ ]?all,,app,
platform,WinNT4,Windows NT4,(for[\-\._ ])?(?:windows|win)[\-\._ ]?nt4,,app,
platform,Win98,Windows 98,(for[\-\._ ])?(?:windows|win)[\-\._ ]?98,,app,
platform,Win95,Windows 95,(for[\-\._ ])?(?:windows|win)[\-\._ ]?95,,app,
platform,Win64,Windows (x64),(for[\-\._ ])?(?:windows|win)[\-\._ ]?64,,app,
platform,Win32,Windows (x86),(for[\-\._ ])?(?:windows|win)[\-\._ ]?32,,app,
platform,WinME,Windows ME,(for[\-\._ ])?(?:windows|win)[\-\._ ]?me,,app,
platform,WinNT,Windows NT,(for[\-\._ ])?(?:windows|win)[\-\._ ]?nt,,app,
platform,WinPE,Windows PE,(based[\-\._ ]on[\-\._ ])?(?:windows|win)[\-\._ ]?pe,,app,
platform,Win9x,Windows 9x,(for[\-\._ ])?(?:windows|win)[\-\._ ]?9x,,app,
platform,XBOX360,Xbox 360,xbox[\-\._ ]?360,,game,1
platform,XBOXONE,Xbox One,xbox[\-\._ ]?one,,game,1
platform,XBOX,Xbox,xbox(?:rip)?,,game,1
region,R0,Global (R0),,,movie,
region,R1,United States (R1),,,movie,
region,R2,Europe (R2),,,movie,
region,R3,Southeast Asia (R3),,,movie,
region,R4,Latin America (R4),,,movie,
region,R5,Africa (R5),,,movie,
region,R6,China (R6),,,movie,
region,R7,Media (R7),,,movie,
region,R8,International (R8),,,movie,
region,R9,Any (R9),,,movie,
region,UK,United Kingom,(?-i:UK),,,
region,AUS,Australia,(?-i:AUS),,,
region,CAN,Canada,(?-i:CAN),,,
region,CEE,Central and Eastern Europe,,,,
region,EUR,Europe,,,,
region,FRA,France,(?-i:FRA|FRE),,,
region,GER,Germany,(?-i:GER),,,
region,INT,International,(?-i:INT),,,
region,JPN,Japan,jpn|(?-i:JAP|JP),,,
region,KOR,South Korea,(?-i:KOR),,,
region,NOR,Norway,(?-i:NOR),,,
region,POL,Poland,(?-i:POL),,,
region,USA,United States,(?-i:US|USA),,,
resolution,PN.Selector,PAL/NTSC Selector,p(?:al)?[\-\._ ]?n(?:tsc)?[\-\._ ]selector,,game,1
resolution,DCI4K,DCI 4k,dci[\-\._ ]?4k|4096x2160,,,
resolution,DCI2K,DCI 2k,dci[\-\._ ]?2k|2048x1080,,,
resolution,4320p,UltraHD 8K (4320p),4320p|7680x4320,,,
resolution,2880p,5k (2880p),2880p|5k|5120x2880,,,
resolution,2160p,UltraHD 4K (2160p),2160p|3840x2160|uhd|4k,,,
resolution,1800p,QHD+ (1800p),1800p|3200x1800,,,
resolution,1440p,QHD (1440p),1440p|2560x1440,,,
resolution,1080p,FullHD (1080p),1080[ip]|1920x1080,,,
resolution,900p,HD+ (900p),900[ip]|1600x900,,,
resolution,720p,HD (720p),720[ip]|1280x720,,,
resolution,576p,PAL (576p),576[ip]|720x576|pal,,,
resolution,540p,qHD (540p),540[ip]|960x540,,,
resolution,480p,NTSC (480p),480[ip]|720x480|848x480|854x480|ntsc,,,
resolution,360p,nHD (360p),360[ip]|640x360,,,
resolution,$1p,Other ($1p),([123]\d{3})p,,,
size,BD50,BD (50GB),bd[\-\._ ]?50,,movie,
size,BD25,BD (25GB),bd[\-\._ ]?25,,movie,
size,BD9,BD (9GB),bd[\-\._ ]?9,,movie,
size,BD5,BD (5GB),bd[\-\._ ]?5,,movie,
size,BDRW,BD (RW),bd[\-\._ ]?rw,,movie,
size,BDR,BD (R),bd[\-\._ ]?r,,movie,
size,CDRW,CD (RW),cd[\-\._ ]?rw,,music,
size,CDR,CD (R),cd[\-\._ ]?r,,music,
size,DVD9,DVD (9GB),dvd[\-\._ ]?9,,movie,
size,DVD5,DVD (5GB),dvd[\-\._ ]?5,,movie,
size,DVDRW,DVD (RW),dvd[\-\._ ]?rw,,movie,
size,DVDR,DVD (R),dvd[\-\._ ]?r,,movie,
size,FULLDVD,DVD (full),,,game,1
size,MCD,CD (music),m[\-\._ ]?cd,,music,1
size,MDVD9,DVD (9GB music),m[\-\._ ]?dvd[\-\._ ]?9,,music,1
size,MDVD5,DVD (5GB music),m[\-\._ ]?dvd[\-\._ ]?5,,music,1
size,MDVDRW,DVD (RW music),m[\-\._ ]?dvd(?:[\-\._ ]?rw),,music,1
size,MDVDR,DVD (R music),m[\-\._ ]?dvd(?:[\-\._ ]?r),,music,1
size,MDVD,DVD (music),m[\-\._ ]?dvd,,music,1
size,512MS,MemoryStick (512mb),,,game,1
size,$1$2,$1 $2,(\d+(?:\.\d+)?)[\-\._ ]?([kmgt]i?b),,movie,
source,AHDTV,High-Definition TV (analog),,,movie,
source,All.Access.Cheat,All Access Cheat,all[\-\._ ]access[\-\._ ](?:cheats?|save),,game,1
source,AUDiOBOOK,Audiobook,a(?:udio[\-\._ ]?)?books?,,audiobook,1
source,BDRiP,BluRay (rip),b[dr]?[\-\._ ]?rip,,movie,
source,BDSCR,BluRay (screener),b[dr][\-\._ ]?scr(?:eener)?,,movie,1
source,BluRay3D,,blu[\-\._ ]?ray[\-\._ ]?3d|bd3d,,movie,1
source,BluRayRiP,BluRay (rip),,,movie,
source,BluRay,,blu[\-\._ ]?ray|bd,,movie,
source,BRDRip,BluRay Disc (rip),,,movie,
source,CABLE,Radio (cable),(?-i:CABLE),,music,1
source,CAMRiP,CAM (rip),cam[\-\._ ]?rip,,movie,
source,CAM,,(?-i:CAM),,movie,
source,CDA,Audio CD,,,music,1
source,CDEP,Extended Play (CD),cdep|epcd,,music,1
source,CDLP,Limited Play (CD),,,music,1
source,CDM,Compact Disc Maxi Single,,,music,1
source,CDREP,CD (reproduced),,,music,1
source,CDRiP,Compact Disc (rip),cd[\-\._ ]?rip,,music,1
source,CDSP,Standard Play (CD),,,music,1
source,CDS,Compact Disc Single,cds|cd[\-\._ ]?single,,music,
source,CD,Compact Disc,cd[\-\._ ]?(?:album)?,,music,
source,CloneCD,Clone (CD),clone[\-\._ ]?cd,,game,1
source,CloneDVD,Clone (DVD),clone[\-\._ ]?dvd,,game,1
source,COMiC,Comic,(?:classic[\-\._ ])?comics?,,comic,1
source,CVD,China Video Disc,,,movie,
source,DAT,Datacable,(?-i:DAT),,music,1
source,DCPRiP,Digital Cinema Package (rip),dcp[\-\._ ]?rip,,movie,
source,DCP,Digital Cinema Package,,,movie,
source,DDCRiP,Digital Distribution Copy (rip),ddc[\-\._ ]?rip,,music,
source,DDC,Digital Distribution Copy,,,music,
source,Digipak,Digipak CD,,,music,1
source,DSRiP,Digital Satellite (rip),ds[\-\._ ]?rip|dsr,,,
source,DS,Digital Satellite,,,,
source,DTheater,,,,movie,
source,DTHRiP,Satellite (DTH rip),dth[\-\._ ]?rip,,,
source,DTH,Satellite (DTH),,,,
source,DTSD,DTS (dual language),,,,
source,3DTV,,,,movie,
source,DTVRiP,Digital TV (rip),dtv[\-\._ ]?rip,,,
source,DTV,Digital TV,,,,
source,DVBC,Digital Video Broadcasting (cable),dvb[\-\._ ]?c,,music,
source,DVBRiP,Digital Video Broadcasting (rip),dvb[\-\._ ]?rip,,,
source,DVBS,Digital Video Broadcasting (satellite),dvb[\-\._ ]?s,,music,
source,DVBT,Digital Video Broadcasting (terrestial),dvb[\-\._ ]?t,,music,
source,DVB,Digital Video Brodacasting,,,music,
source,DVDA,Audio DVD,,,music,1
source,DVDRiP,Digital Video Disc (rip),dvd[\-\._ ]?rip,,movie,
source,DVDSCRRiP,Digital Video Disc (screener rip),(?:dvd[\-\._ ]?)?scr(?:eener)?[\-\._ ]?rip,,movie,1
source,DVDSCR,Digital Video Disc (screener),(?:dvd[\-\._ ]?)?scr(?:eener)?,,movie,1
source,DVDS,Digital Video Disc (single),dvds(?:ingle)?,,music,1
source,DVD,Digital Video Disc,dvd,,movie,
source,DVTV,Digital Versatile Television,,,,
source,EP,Extended Play,(?-i:EP),,music,1
source,FESTiVAL,Festival,(?-i:F[eE]ST[iI]V[aA]L),,movie,
source,FM,,(?-i:FM),,music,1
source,HDCAM,CAM (HD),hd[-\._ ]?cam,,movie,
source,HDDVDRiP,High-Definition Digital Video Disc (rip),hd[\-\._ ]?dvd[\-\._ ]?rip,,movie,
source,HDDVD,High-Definition Digital Video Disc,hd[\-\._ ]?dvd,,movie,
source,HDRiP,High-Definition TV (rip),hd(?:tv)?[\-\._ ]?rip,,movie,
source,HDTC,Telecine (HD),hd[\-\._ ]?tc,,movie,
source,HDTS,Telesync (HD),hd[\-\._ ]?ts,,movie,
source,HDTV,High-Definition TV,,,,
source,HFR,High Frame Rate,,,movie,
source,IVTC,Inverse Telecine,,,music,
source,LASERDiSC,LaserDisc,,,movie,
source,LP,Limited Play,(?-i:LP),,music,1
source,MAGAZiNE,Magazine,(?-i:MAGAZ[iI]NE),,magazine,1
source,MBluRay,Music BluRay,m(?:usic)?[\-\._ ]?blu[\-\._ ]?ray|mbd,,music,1
source,35mm,Film (35mm),,,movie,1
source,PDTV,Pure Digital TV,,,,
source,PDVD,Digital Video Disc (pirated),,,movie,1
source,PS2CD,PlayStation 2 (CD),,,game,1
source,PS2DVD,PlayStation 2 (DVD),,,game,1
source,PSXPSP,PlayStation 1 to PlayStation Portable Backup,,,game,1
source,RADIO,Radio,(?-i:R[aA]D[iI][oO]),,music,1
source,SATRiP,Satellite (rip),sat[\-\._ ]?rip,,,
source,SAT,Satellite Radio,(?-i:SAT),,music,
source,SBD,Soundboard,(?-i:SBD|DAB),,music,1
source,SCAN,Comic (scan),(?-i:SCAN),,comic,1
source,SCD,Sample CD,,,music,1
source,SDTV,TV (SD),,,,
source,SFCloneCD,Clone (StarForce CD),sf[\-\._ ]?clone[\-\._ ]?cd,,game,1
source,SFCloneDVD,Clone (StarForce DVD),sf[\-\._ ]?clone[\-\._ ]?dvd,,game,1
source,SFClone,Clone (StarForce),sf[\-\._ ]?clone,,game,1
source,SINGLE,Single,(?-i:S[iI]NGLE|SI),,music,1
source,SP,Standard Play,(?-i:SP),,music,1
source,STREAM,Stream,(?-i:STREAM),,music,1
source,SVCDRiP,Super Video CD (rip),svcd[\-\._ ]?rip,,music,
source,SVCD,Super Video CD,,,music,
source,TAPE,Tape,(?-i:TAPE),,music,1
source,TC,Telecine,telecine|tc,,movie,
source,TS,Telesync,telesync|ts,,movie,
source,TVHSRiP,TV HS (rip),tvhs[\-\._ ]?rip,,,
source,TVRiP,TV (rip),tv[\-\._ ]?rip,,,
source,UHD.BDRiP,Ultra High-Definiton BluRay (rip),uhd[\-\._ ]?(?:bd)?rip,,movie,
source,UHD.BluRay,Ultra High-Definiton BluRay,uhd[\-\._ ]?(?:blu[\-\._ ]?ray|bd),,movie,
source,UHDTV,Ultra High-Definition TV,,,,
source,UMDMOVIE,Universal Media Disc Movie,,,,
source,UMDRiP,Universal Media Disc (rip),umd[\-\._ ]?rip,,game,1
source,UMD,Universal Media Disc,,,game,1
source,VCDRiP,Video CD (rip),vcd[\-\._ ]?rip,,movie,
source,VCD,Video CD,,,movie,
source,VHSRiP,VHS (rip),vhs[\-\._ ]?rip,,movie,
source,VHS,,,,movie,
source,ViNYLRiP,Vinyl (rip),,,music,1
source,ViNYL,Vinyl,vinyl|vl,,music,1
source,VLS,Vinyl (single),vls,,music,1
source,VODRiP,Video-on-Demand (rip),vod[\-\._ ]?rip,,movie,
source,VOD,Video-on-Demand,,,movie,
source,WEB-DL,Web (DL),web[\-\._ ]?dl,,movie,
source,WEB-HD,Web (HD),web[\-\._ ]?hd,,movie,
source,WEBFLAC,Web (FLAC),,,music,1
source,WebHDRiP,Web (HD rip),,,movie,
source,WEBRiP,Web (rip),web[\-\._ ]?rip,,movie,
source,WEBSCR,Web (screener),web[\-\._ ]?scr(?:eener)?,,movie,1
source,WebUHD,Web (UHD),,,movie,
source,WEB,Web,,,,
source,Whitelabel,Whitelabel Promo,whitelabel|wlp,,music,1
source,WORKPRiNT,Workprint,workprint|wp,,movie,1
source,XBOXDVD,Xbox (DVD),,,game,1
source,$1INCH.ViNYL,Vinyl ($i inch),(\d\d?)[\-\._ ]?inch(?:[\-\._ ]?vinyl)?,,music,1
